msr;name;bits-to-check
17;MSR_PLATFORM_ID;53-63,13-49,0-7
A1;MSR_SMRR_PHYSMASK;32-63,0-10
CD;MSR_FSB_FREQ;3-63
E7;IA32_MPERF;3-63
17A;IA32_MCG_STATUS;3-63
198;MSR_PERF_STATUS;47-63,45-45,32-39,16-30
19D;MSR_THERM2_CTL;16-63,0-15
1C9;MSR_LASTBRANCH_TOS;40-63
38D;IA32_FIXED_CTR_CTRL;8-63
17;MSR_PLATFORM_ID;13-63,0-7
CD;MSR_FSB_FREQ;3-63
17A;IA32_MCG_STATUS;3-63
198;MSR_PERF_STATUS;45-63,16-39
1C9;MSR_LASTBRANCH_TOS;35-63,24-33,21-21,19-19,14-15
2A;MSR_EBL_CR_POWERON;0-63
34;MSR_SMI_COUNT;32-63
E4;MSR_PMG_IO_CAPTURE_BASE;19-63
13C;MSR_FEATURE_CONFIG;2-63
17A;IA32_MCG_STATUS;3-63
187;IA32_PERFEVTSEL1;32-63,21-21
1A2;MSR_TEMPERATURE_TARGET;30-63,0-15
17;MSR_PLATFORM_ID;33-63,13-49,0-7
3A;IA32_FEATURE_CONTROL;1-1
CE;MSR_PLATFORM_INFO;16-63,0-7
11E;MSR_BBL_CR_CTL3;24-63,9-22,1-7,16-63,11-14
1C8;MSR_LBR_SELECT;9-63,39-63,35-37,24-33,19-21
606;MSR_RAPL_POWER_UNIT;20-63,13-15,4-7
610;MSR_PKG_POWER_LIMIT;24-63
1A4;MSR_MISC_FEATURE_CONTROL;3-63,1-1
606;MSR_RAPL_POWER_UNIT;20-63,13-15,4-7
CD;MSR_FSB_FREQ;5-63
E2;MSR_PKG_CST_CONFIG_CONTROL;16-63,11-14,3-9
17;MSR_PLATFORM_ID;33-63,0-49
3A;IA32_FEATURE_CONTROL;19-63
17D;MSR_SMM_MCA_CAP;60-63,0-57,16-63,11-14
1A4;MSR_MISC_FEATURE_CONTROL;3-63,1-1,39-63,35-37,24-33,19-21
1C9;MSR_LASTBRANCH_TOS;10-63
1FC;MSR_POWER_CTL;2-63,0-0
38E;IA32_PERF_GLOBAL_STATUS;56-57,35-54,4-31
391;IA32_PERF_GLOBAL_STATUS_SET;63-63,56-57,35-54,4-31
4E0;MSR_SMM_FEATURE_CONTROL;3-63,1-1
500;IA32_SGX_SVN_STATUS;24-63,1-15
571;IA32_RTIT_STATUS;49-63,6-31,3-3,40-63,28-31,23-23,18-18,12-12
572;IA32_RTIT_CR3_MATCH;0-4
606;MSR_RAPL_POWER_UNIT;20-63,13-15,4-7
