msr;name;bits-to-check
1a0;UNDOCUMENTED;0-63
1b;UNDOCUMENTED;0-63
2a;UNDOCUMENTED;0-63
c0000101;UNDOCUMENTED;0-63
c0000080;UNDOCUMENTED;0-63
2e;UNDOCUMENTED;0-63
33;UNDOCUMENTED;0-63
34;UNDOCUMENTED;0-63
35;UNDOCUMENTED;0-63
3e;UNDOCUMENTED;0-63
95;UNDOCUMENTED;0-63
ce;UNDOCUMENTED;0-63
e2;UNDOCUMENTED;0-63
e3;UNDOCUMENTED;0-63
e4;UNDOCUMENTED;0-63
102;UNDOCUMENTED;0-63
103;UNDOCUMENTED;0-63
104;UNDOCUMENTED;0-63
110;UNDOCUMENTED;0-63
123;UNDOCUMENTED;0-63
13a;UNDOCUMENTED;0-63
13c;UNDOCUMENTED;0-63
140;UNDOCUMENTED;0-63
142;UNDOCUMENTED;0-63
150;UNDOCUMENTED;0-63
19d;UNDOCUMENTED;0-63
1a1;UNDOCUMENTED;0-63
1a2;UNDOCUMENTED;0-63
1a4;UNDOCUMENTED;0-63
1a6;UNDOCUMENTED;0-63
1a7;UNDOCUMENTED;0-63
1a8;UNDOCUMENTED;0-63
1aa;UNDOCUMENTED;0-63
1ad;UNDOCUMENTED;0-63
1c6;UNDOCUMENTED;0-63
1c8;UNDOCUMENTED;0-63
1c9;UNDOCUMENTED;0-63
1db;UNDOCUMENTED;0-63
1dc;UNDOCUMENTED;0-63
1dd;UNDOCUMENTED;0-63
1de;UNDOCUMENTED;0-63
1f0;UNDOCUMENTED;0-63
1fc;UNDOCUMENTED;0-63
2e0;UNDOCUMENTED;0-63
2e7;UNDOCUMENTED;0-63
305;UNDOCUMENTED;0-63
393;UNDOCUMENTED;0-63
394;UNDOCUMENTED;0-63
395;UNDOCUMENTED;0-63
396;UNDOCUMENTED;0-63
397;UNDOCUMENTED;0-63
3b0;UNDOCUMENTED;0-63
3b1;UNDOCUMENTED;0-63
3b2;UNDOCUMENTED;0-63
3b3;UNDOCUMENTED;0-63
3f0;UNDOCUMENTED;0-63
3f6;UNDOCUMENTED;0-63
3f8;UNDOCUMENTED;0-63
3f9;UNDOCUMENTED;0-63
3fa;UNDOCUMENTED;0-63
3fc;UNDOCUMENTED;0-63
3fd;UNDOCUMENTED;0-63
3fe;UNDOCUMENTED;0-63
4e0;UNDOCUMENTED;0-63
4e2;UNDOCUMENTED;0-63
4e3;UNDOCUMENTED;0-63
601;UNDOCUMENTED;0-63
603;UNDOCUMENTED;0-63
606;UNDOCUMENTED;0-63
60a;UNDOCUMENTED;0-63
60b;UNDOCUMENTED;0-63
60c;UNDOCUMENTED;0-63
60d;UNDOCUMENTED;0-63
610;UNDOCUMENTED;0-63
611;UNDOCUMENTED;0-63
613;UNDOCUMENTED;0-63
614;UNDOCUMENTED;0-63
615;UNDOCUMENTED;0-63
618;UNDOCUMENTED;0-63
619;UNDOCUMENTED;0-63
61b;UNDOCUMENTED;0-63
61d;UNDOCUMENTED;0-63
620;UNDOCUMENTED;0-63
621;UNDOCUMENTED;0-63
622;UNDOCUMENTED;0-63
623;UNDOCUMENTED;0-63
638;UNDOCUMENTED;0-63
639;UNDOCUMENTED;0-63
63a;UNDOCUMENTED;0-63
640;UNDOCUMENTED;0-63
641;UNDOCUMENTED;0-63
642;UNDOCUMENTED;0-63
648;UNDOCUMENTED;0-63
649;UNDOCUMENTED;0-63
64a;UNDOCUMENTED;0-63
64b;UNDOCUMENTED;0-63
64c;UNDOCUMENTED;0-63
680;UNDOCUMENTED;0-63
681;UNDOCUMENTED;0-63
682;UNDOCUMENTED;0-63
683;UNDOCUMENTED;0-63
684;UNDOCUMENTED;0-63
685;UNDOCUMENTED;0-63
686;UNDOCUMENTED;0-63
687;UNDOCUMENTED;0-63
688;UNDOCUMENTED;0-63
689;UNDOCUMENTED;0-63
68a;UNDOCUMENTED;0-63
68b;UNDOCUMENTED;0-63
68c;UNDOCUMENTED;0-63
68d;UNDOCUMENTED;0-63
68e;UNDOCUMENTED;0-63
68f;UNDOCUMENTED;0-63
690;UNDOCUMENTED;0-63
6b0;UNDOCUMENTED;0-63
6b1;UNDOCUMENTED;0-63
6c0;UNDOCUMENTED;0-63
6c1;UNDOCUMENTED;0-63
6c2;UNDOCUMENTED;0-63
6c3;UNDOCUMENTED;0-63
6c4;UNDOCUMENTED;0-63
6c5;UNDOCUMENTED;0-63
6c6;UNDOCUMENTED;0-63
6c7;UNDOCUMENTED;0-63
6c8;UNDOCUMENTED;0-63
6c9;UNDOCUMENTED;0-63
6ca;UNDOCUMENTED;0-63
6cb;UNDOCUMENTED;0-63
6cc;UNDOCUMENTED;0-63
6cd;UNDOCUMENTED;0-63
6ce;UNDOCUMENTED;0-63
6cf;UNDOCUMENTED;0-63
700;UNDOCUMENTED;0-63
701;UNDOCUMENTED;0-63
702;UNDOCUMENTED;0-63
703;UNDOCUMENTED;0-63
704;UNDOCUMENTED;0-63
705;UNDOCUMENTED;0-63
706;UNDOCUMENTED;0-63
707;UNDOCUMENTED;0-63
708;UNDOCUMENTED;0-63
709;UNDOCUMENTED;0-63
710;UNDOCUMENTED;0-63
711;UNDOCUMENTED;0-63
712;UNDOCUMENTED;0-63
713;UNDOCUMENTED;0-63
714;UNDOCUMENTED;0-63
715;UNDOCUMENTED;0-63
716;UNDOCUMENTED;0-63
717;UNDOCUMENTED;0-63
718;UNDOCUMENTED;0-63
719;UNDOCUMENTED;0-63
720;UNDOCUMENTED;0-63
721;UNDOCUMENTED;0-63
722;UNDOCUMENTED;0-63
723;UNDOCUMENTED;0-63
724;UNDOCUMENTED;0-63
725;UNDOCUMENTED;0-63
726;UNDOCUMENTED;0-63
727;UNDOCUMENTED;0-63
728;UNDOCUMENTED;0-63
729;UNDOCUMENTED;0-63
